Question,Claude_Answer,Correct_Answer,Is_Correct
1950년대 이후에 등장한 도시계획 개념 또는 방식에 해당하지 않는 것은?,3,3,True
1990년대 이후 국내에서 발생한 재난을 시기순으로 바르게 나열한 것은?\n(가) 대구지하...,1,3,False
"2001년 미국 9·11 테러 이후, 분산된 국가 위기관리 관련 조직을 통합하기 위하여 창...",4,4,True
"A사업장에서 전년도에 총 10건의 재해가 발생하여 안전관리 부서의 주관으로 10개월 동안 다음과 같은 안전활동을 벌였다. 이 기간 동안 매일 평균 1,000명의 근로자가 일 8시간, 월 25일 근무하였다면 안전활동률은?\n\n○ 안전문화 캠페인: 12건\n○ 안전회의: 10건\n○ 안전교육: 20건\n○ 안전홍보: 8건\n○ 불안전한 행동 발견 및 조치: 50건",API_ERROR,1,False
OJT(On the Job Training) 대비 OFF-JT(Off the Job Tra...,4,4,True
가도시화(pseudo-urbanization)에 대한 설명으로 옳은 것은?,2,2,True
가뭄지수에 해당하는 것만을 모두 고르면?\nㄱ. 파머가뭄지수(PDSI)\nㄴ. 토양수분지수...,4,4,True
가스 연소 시 발생되는 이상현상인 역화(Backfire)의 원인으로 옳지 않은 것은?,2,2,True
가연물의 연소를 활성화시킬 수 있는 조건으로 옳지 않은 것은?,3,3,True
가연물의 연속적인 연소 연쇄반응이 진행되지 않도록 화재를 소화시키는 방법은?,2,2,True
가정이나 식당에서 튀김요리 중 일어날 수 있는 식용유 화재의 소화방법으로 옳지 않은 것은?,2,2,True
가축전염병 예방법령상 외국에서 가축전염병이 발생하는 경우 국내 유입을 예방하기 위한 정보공...,4,4,True
감염병의 예방 및 관리에 관한 법률 상 역학조사 교육․훈련 과정을 이수한 사람 중 역학조사...,4,4,True
강풍주의보 발표기준으로 옳지 않은 것은?,3,3,True
"건축물 화재에서 일정 구역 내에 있는 최대 예상 가연물의 양을 뜻하고, 화재구획에서 단위면...",2,2,True
건축물의 실내에서 화재가 발생하였을 때 발화로부터 화재가 서서히 진행하다가 어느 정도 시간...,4,4,True
"건축물의 피난․방화구조 등의 기준에 관한 규칙에서 방화구획의 설치기준에 대한 규정으로 ㉠,...",1,1,True
계획단위개발(PUD: Planned Unit Development)에 대한 설명으로 옳지 ...,2,2,True
"고압가스 안전관리법 시행령 상 고압가스의 종류 및 범위로 옳지 않은 것은? (단, 별표1에...",3,3,True
고열증상 및 대책에 대한 설명으로 옳지 않은 것은?,1,1,True
공공기관의 정보공개에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함),4,4,True
공원녹지 기본계획 수립지침 상 공원녹지 수립계획의 목표수준(지표)으로 옳지 않은 것은?,4,4,True
교통 안전관리에 대한 설명으로 옳은 것은?,1,1,True
교통계획에서 통행(Trip)에 대한 설명으로 옳지 않은 것은?,4,4,True
"교통안전법 상 용어 정의로서 (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n\n(...",1,1,True
국가배상법에 대한 내용으로 옳은 것은?,1,1,True
"국민보호와 공공안전을 위한 테러방지법 상 ㉠, ㉡에 들어갈 기구를 바르게 연결한 것은?\n...",4,4,True
국토의 계획 및 이용에 관한 법률 상 광역도시계획이 수립되어 있는 지역에 대하여 수립하는 ...,1,1,True
국토의 계획 및 이용에 관한 법률 상 도시․군관리계획을 시행하기 위한 도시․군계획사업이 아...,3,3,True
국토의 계획 및 이용에 관한 법률 상 방재지구는?,3,3,True
국토의 계획 및 이용에 관한 법률 상 용도구역에 해당하지 않는 것은?,3,1,False
국토의 계획 및 이용에 관한 법률 상 지구단위계획에 반드시 포함되어야 하는 것만을 모두 고...,2,2,True
근로자의 안전의식 고취를 위한 데이비스(Davis)의 동기부여 이론에 대한 설명으로 옳은 ...,3,3,True
근로자의 의욕을 고취하기 위한 동기부여이론에서 인간욕구를 위생요인과 동기요인의 2요인으로만...,3,3,True
기간의 지속에 따라 나타나는 가뭄의 전이과정을 순서대로 바르게 나열한 것은?,2,2,True
"기계, 기구 및 설비의 신설, 변경, 고장 수리 시에 실시하는 안전점검은?",1,3,False
기계·설비의 안전을 추구하기 위한 본질적인 안전화에 대한 설명으로 옳지 않은 것은?,3,3,True
"기기 또는 시스템의 안전조치 방법으로 ㉠, ㉡에 해당하는 것은?\n\n| 안전조치방법 | ...",2,2,True
기속행위와 재량행위에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),4,4,True
기속행위와 재량행위에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),4,4,True
기후가 상이한 두 지역에 대한 지역적인 편차를 고려함으로써 시간과 공간의 일관된 비교를 통...,3,3,True
다음 설명에 해당하는 용어는?\n○ 투자사업으로부터 기대되는 총편익의 현재가치와 총비용의 ...,1,1,True
다음 할로겐화합물 소화약제 중 독성이 가장 약한 것은?,3,3,True
다음에서 설명하는 것은?\n재난으로부터의 충격이나 사회적 기능의 단절을 흡수할 수 있는 능...,4,4,True
다음에서 설명하는 미국의 재난관리시스템은?\n○ 9․11 테러 대응 과정에 대한 분석 후 ...,3,3,True
다음에서 설명하는 화재 현상은?\n고체 연소 시 열분해에 의하여 생성된 가연성 증기가 바람...,2,2,True
다중이용업소의 안전관리에 관한 특별법 상 안전관리기본계획의 수립ㆍ시행에 대한 설명에서 (가...,1,1,True
대기오염물질을 생성 메커니즘에 따라 1차 오염물질과 2차 오염물질로 분류할 때 2차 오염물...,3,3,True
