Question,option 1,option 2,option 3,option 4,Answer,Model Response,Is Correct (O/X)
재해영향평가등의 협의 실무지침상 재해영향평가 등의 협의 관리체계에 관한 사항으로 틀린 것은?,발생 가능한 피해는 강제적인 규제조치를 통해 방지하는 규제적수단이다.,재해피해시 보상금액을 협의할수 있는 협의적 수단이다.,평가를 통해 승인된 계획을 통하여 개발이 완료된 이후 발생할 수 있는 천재지변에 의한 피해에 대해서는 분쟁조정과 피해배상의 부분으 포함하는 구제적 수단이다.,개발에 따른 홍수와 토사 유출량의 증대로 인한 하류지역 피해 및 사면불안정으로 인한 재해요인을 최소화하는 예방적 수단이다.,2,1,X
"유출계수 0.1 유역면적 1.0km$^2$ 도달시간 30분일 때 합리식에 의한 첨두홍수량은? (단, 강우강도식 [ I = 3000 / t ] 이며 I는 강우강도, t는 강우지속기간(분)이다.)",1.89,2.78,3.83,4.87,2,2,O
"집중호우시 토사유량 저감을 위해 어떤 소유역에 설치된 침사지로 유입 할 토사의 체적을 산정한 결과 200m$^3$/year 이었다. 준설주기를 년2회로 계획할 경우, 토사저류부의 저류용량(m$^3$)은? (단, 침사지의 토사포착 효율은 80% 이다.)",80,120,160,200,1,3,X
자연재해대책법령상 수방기준을 제정하는 대상시설물에 해당하지않는것?,소하천정비법에 따른 소하천 부속물 중 제방,하천법에 따른 하천시설 중 제방,농어촌정비법에 따른 농업생산기반시설 중 농수산물 유통시설,하수도법에 따른 하수도중 하수관로 및 공공하수처리시설,3,3,O
토사재해로 인한 위험요인으로 틀린 것은?,산지침식 및 홍수피해,하천시설 피해,하천 통수능 증대,저수지의 저수능 저하,3,3,O
"재해복구사업의 분석·평가 시행지침상 다음에서 설명하는 용어로 옳은 것은?\n\n- 홍수 호우 등으로부터 재해를 예방하기 위하여 지역별로 설정 공포한 목표강우량(시우량, 연속강우량)",방재성능목표,재해저감성 평가,재해복구개선평가,재해복구 효율성평가,1,1,O
사면 안정성 해석 프로그램이 아닌 것은?,SLIDE,SWEDGE,SLOPE/W,XP-SWMM,4,4,O
자연재해대책법령상 재해영향평가등의 협의대상 분야에 해당하지 않는것은?,국토·지역 계획 및 도시의 개발,지질 및 생태 개발,에너지 개발,관광단지 개발 및 체육시설 조성,2,2,O
발생지역에 따른 열대성 저기압의 명칭으로 옳은 것은?,사이클론 - 카리브해,윌리윌리 - 북태평양,허리케인 - 북대서양,태풍 - 남태평양,3,3,O
재난 및 안전관리 기본법령상 재난대비훈련 기본계획 수립주기는?,6개월,1년,2년,3년,2,2,O
자연재해저감 종합계획 세부수립기준상 주요 자연재해 특성분석에 관한 사항으로 틀린 것은?,"기상개황은 자연재해 발생기간내의 강우량, 풍속, 풍향, 적설량등을 기술한다.",주요자연재해 특성분석내용은 위험지구 예비후보지 대상선정시 제외한다.,자연재해 원인특성은 해당재해별 특성을 구분하여 분석한다.,피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로한다.,2,2,O
우리나라 해안에서 발생하는 연안침식의 주요원인이 아닌 것은?,항만건설,해안도로 건설,하수구 폐쇄,무분별한 하구 골재채취,3,3,O
