Question,Claude_Answer,Correct_Answer,Is_Correct
재해영향평가등의 협의 실무지침상 재해영향평가 등의 협의 관리체계에 관한 사항으로 틀린 것은...,2,2,True
"유출계수 0.1 유역면적 1.0km$^2$ 도달시간 30분일 때 합리식에 의한 첨두홍수량은? (단, 강우강도식 [ I = 3000 / t ] 이며 I는 강우강도, t는 강우지속기간(분)이다.)",API_ERROR,2,False
"집중호우시 토사유량 저감을 위해 어떤 소유역에 설치된 침사지로 유입 할 토사의 체적을 산정한 결과 200m$^3$/year 이었다. 준설주기를 년2회로 계획할 경우, 토사저류부의 저류용량(m$^3$)은? (단, 침사지의 토사포착 효율은 80% 이다.)",API_ERROR,1,False
자연재해대책법령상 수방기준을 제정하는 대상시설물에 해당하지않는것?,3,3,True
토사재해로 인한 위험요인으로 틀린 것은?,3,3,True
재해복구사업의 분석·평가 시행지침상 다음에서 설명하는 용어로 옳은 것은?\n\n- 홍수 호...,1,1,True
사면 안정성 해석 프로그램이 아닌 것은?,4,4,True
자연재해대책법령상 재해영향평가등의 협의대상 분야에 해당하지 않는것은?,2,2,True
발생지역에 따른 열대성 저기압의 명칭으로 옳은 것은?,3,3,True
재난 및 안전관리 기본법령상 재난대비훈련 기본계획 수립주기는?,2,2,True
자연재해저감 종합계획 세부수립기준상 주요 자연재해 특성분석에 관한 사항으로 틀린 것은?,2,2,True
우리나라 해안에서 발생하는 연안침식의 주요원인이 아닌 것은?,3,3,True
RRL 모델에 의한 홍수유출량 산정방법으로 옳은 것은?\n\n- Q 는 시간별 유출량(m$...,1,1,True
재해복구사업의 분석·평가 시행지침상 명시된 재해복구사업의 효과성· 경제성을 평가하는 경우 ...,4,1,False
자연현황 조사대상에 해당하지 않는 것은?,1,1,True
우리나라의 지형적 특성에 따른 연안침식 유형이 아닌 것은?,1,1,True
재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 ...,3,3,True
폭풍해일 및 파랑으로 인한 재해 대책시설이 아닌 것은?,3,3,True
배수펌프 시설계획 수립에 관한 사항으로 틀린 것은?,1,1,True
자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (...,4,2,False
재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것...,2,2,True
하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?...,1,3,False
재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?,3,3,True
재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선...,4,2,False
다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ...,2,2,True
자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?,1,1,True
댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?,4,4,True
자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?,2,2,True
도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?,3,3,True
자연재해대책법령상 상습가뭄재해지역에 대한 생활수∙먹는물 분야의 중장기 대책에 포함되어야하는...,3,3,True
SUMMARY - Model: claude-opus-4-1-20250805,Final Accuracy: 85.7%,Correct: 24/28,"Total Questions: 30, API Errors: 2"
